model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,893.9674055594646,0.17502463146699776,0.1750262058591311,10.978278363178932
linear,894.6557153479022,0.17438944206540463,0.17451962432344115,11.976875146575477
knnR,1076.2746156404237,0.0067870012274035,0.008805900605550754,11.965662587652103
svr,1116.9997488238002,-0.030795165132997404,0.03665083278443115,11.253958932739701
ridge,894.6461403771883,0.17439827808665576,0.17452867528961213,11.97630395330845
lasso,897.3816430046118,0.17187388818815674,0.172023594991067,11.790609710230923
mlp,848.1331850614724,0.2173215907427002,0.21776462772637284,10.896667488642265
decisionTree,1449.101184261013,-0.33726663421155245,-0.33580393563487054,13.567703101777589
ExtraTreeRegressor,1862.1483269363628,-0.7184368162908967,-0.7161084057786444,14.83107223274429
RandomForestRegressor,835.0318674571715,0.22941181265869048,0.23016128947436743,10.402552419779061
