model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,1905.7623956453458,0.17108507278256613,0.1710874020113209,15.789034907760529
linear,1953.622108879737,0.15026840077613868,0.15039219826693617,17.162223887596227
knnR,2370.4292102564104,-0.031022629464994456,-0.029225977473771758,17.287384615384614
svr,2374.657145131663,-0.03286157766620157,0.03608473353112118,16.033089175264777
ridge,1953.584555658787,0.1502847346200018,0.1504087890596626,17.1610311808415
lasso,1956.4544384667306,0.14903647371176632,0.14916619363988526,16.86869950727085
mlp,1943.007883796734,0.15488507787725636,0.15584677054903018,15.29010948047052
decisionTree,3160.3882168727864,-0.37461678053566483,-0.3742152780789514,20.381656216736268
ExtraTreeRegressor,3448.5066154482847,-0.49993441820703866,-0.4971367907174149,21.67873313981319
RandomForestRegressor,1893.049153757466,0.17661472117854105,0.1773938853808188,15.681891171538162
