model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,124.00495200651748,-8.007837589308997,-7.501439979941228,3.7894238368968174
linear,17.373270289536254,-0.26201086836503706,-0.1698554168806512,2.3225402847265753
knnR,30.27755772333333,-1.1993905740020803,-1.1176312597491238,2.583033333333333
svr,13.974870121273787,-0.015147849720589912,-0.0011074588708945843,1.0251673228944067
ridge,15.026423345457959,-0.09153367550170421,-0.016984764342891756,2.20671990932115
lasso,15.881139226234074,-0.15362104954971612,-0.10894473738145027,2.0517340319139015
mlp,20.40047076154859,-0.4819095882220752,-0.41247607506932393,2.362312175710496
decisionTree,135.87802420833336,-8.870308840251262,-8.522319797590692,3.398729166666666
ExtraTreeRegressor,211.5901179583333,-14.370107299998995,-13.594561994901648,4.309770833333333
RandomForestRegressor,34.89926219346666,-1.5351155799724578,-1.3400134920554465,2.5787099999999996
