model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,715.9047788779877,-2.25815158699077,-2.155202545003834,10.21415436218949
linear,193.6015373118668,0.11890076076162559,0.1870399714670905,9.248467038442739
knnR,416.2339711428781,-0.894320884076357,-0.8166904239093327,10.33295832720625
svr,250.37065551585874,-0.13946096278810116,-0.012487095970002748,7.144872582303847
ridge,195.24068889093414,0.11144082408257905,0.1766396594269326,9.245538034275535
lasso,180.9508091444658,0.1764754428580434,0.23472678533969038,8.549045567958556
mlp,157.98413450218598,0.2809989907395387,0.3169904313178664,8.061732472916725
decisionTree,376.85524650593226,-0.7151045162646761,-0.6889439252229217,8.307413468177083
ExtraTreeRegressor,1735.870267840699,-6.900112745216326,-6.52239145393482,14.947151582295836
RandomForestRegressor,201.49506579981494,0.08297655250271097,0.14833538096123,7.628237983452753
