model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,384.62642914498633,0.42758895727248947,0.4338211957374022,9.390982610530891
linear,437.6751477391164,0.34864047629231787,0.35172476580669554,11.51957130980829
knnR,506.6550655294584,0.24598277084705933,0.24657271652842438,11.131344770952063
svr,643.7651633933222,0.04193196169909863,0.11385254303767567,10.276373463193963
ridge,437.73023197545905,0.3485584985009508,0.351639859795119,11.518543598284438
lasso,451.7437780214721,0.32770317526603965,0.331042428516355,11.336435440073194
mlp,382.1338449785012,0.43129848577523844,0.4313839207934115,9.491288108611684
decisionTree,901.8383776212131,-0.3421392993024228,-0.3351943050978321,11.519062583541809
ExtraTreeRegressor,844.7927242826265,-0.2572424762130672,-0.239362411935913,12.671443396368593
RandomForestRegressor,381.53302925975726,0.4321926353343776,0.4402078942546862,8.739841240422361
