model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,1051.0467073781724,0.29317164040100785,0.2963815521739177,15.199437609597426
linear,1009.6531664605708,0.3210087749635302,0.32492012777413937,16.189356285063646
knnR,1085.15442043222,0.27023422125642627,0.2718690027161472,17.008251473477404
svr,1492.6782242482911,-0.0038253231261367038,0.07670753987068257,15.795144912990859
ridge,1009.7279733982948,0.3209584673371355,0.3248655428546101,16.186928403954887
lasso,1016.6306297362223,0.31631643456926406,0.32037631252288046,15.965582685060442
mlp,850.1749450922882,0.4282577952118277,0.43869632125038727,15.330795789213054
decisionTree,2699.9158411582725,-0.8156919874870889,-0.8098323450744247,19.245921006969198
ExtraTreeRegressor,1487.8440320554566,-0.0005743314112480746,0.0024622389968205205,18.348311314762256
RandomForestRegressor,897.2225527588391,0.39661830372532814,0.405694498928615,14.41814047421164
