model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,3997.9311560762417,-0.12563831229724198,-0.12554587003879103,17.049239455660864
linear,3552.691642954018,-0.0002788114571059541,0.00018446746777944778,14.679927712368794
knnR,3829.614651239453,-0.0782479248594048,-0.07800102244822393,14.5121899543379
svr,3646.083539958967,-0.026573785838321484,0.0004235941336057092,10.371468016196035
ridge,3552.07025284088,-0.00010385583858130154,0.00035588359466964814,14.668154304617186
lasso,3529.0542227716587,0.0063764271456631105,0.006802563549552554,14.276596811343108
mlp,3577.261612506602,-0.007196614185732475,-0.0070599929856651755,14.573924917617179
decisionTree,5101.828440894469,-0.4364463347775074,-0.43617901385585967,18.862409436834096
ExtraTreeRegressor,5394.388120583968,-0.5188180343480211,-0.5187024222727399,17.846856925418567
RandomForestRegressor,3699.867803615829,-0.04171702503063379,-0.04169997232157141,15.430008693110539
