model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,1268.6556050739678,-1.052468266192724,-1.0202441841792904,15.236323457391677
linear,542.9518452309661,0.12159657203235408,0.12747301152410562,11.65230853417413
knnR,732.6217176585146,-0.18525691338433514,-0.18046289295737017,12.821015585215523
svr,638.4044969187678,-0.03282952889654056,0.07356782324717848,10.509482990355659
ridge,542.5073816213106,0.12231563830270098,0.12820629345411594,11.64297010549747
lasso,540.2678918965479,0.12593875049655157,0.13152150379152883,11.434848639284638
mlp,650.0472219094457,-0.051665471038602195,-0.025210682866275702,12.813553332753697
decisionTree,2558.3632101162366,-3.1389950756985554,-3.129584226413331,15.214689635584365
ExtraTreeRegressor,1268.040687365465,-1.0514734342793393,-1.0514188009413181,13.109945668794108
RandomForestRegressor,684.5325444436036,-0.10745683779542436,-0.09101743935462525,11.920800339362632
