model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,81.10489584377392,-0.315672818332575,-0.296919532380044,2.8868766045868948
linear,62.8648974499471,-0.019785993702246873,-0.012238222785763808,2.3492728500567894
knnR,66.89299325201925,-0.08512922731707318,-0.07762508688135061,2.52856504426758
svr,61.17021683653102,0.0077048895006797125,0.012403735147440309,1.9618283772804723
ridge,62.855738810921636,-0.019637423479779148,-0.012084355968489335,2.347974239284749
lasso,62.94425336163875,-0.021073294732603998,-0.013755870217767363,2.338733442133199
mlp,84.96823754788119,-0.37834343291317185,-0.3001428335138083,3.420136024242864
decisionTree,112.94610236898514,-0.8321966297782948,-0.8221199745331687,3.0814893606277782
ExtraTreeRegressor,111.4848827887552,-0.8084929203619484,-0.7910018585240264,3.362447321255632
RandomForestRegressor,68.93038692065767,-0.11817955605719987,-0.10487373735167771,2.4155847900262803
