model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,1345.0175444534098,-0.47188910019418606,-0.4598691239524868,18.08706756519179
linear,911.6750286054985,0.0023293427975520364,0.007576088502501133,16.005510549174033
knnR,1075.568401826484,-0.17702361109723053,-0.17369057301612734,16.811872146118723
svr,940.6209722494227,-0.02934698671950353,0.07983319678947842,13.571172918618021
ridge,911.1781209266002,0.002873122318785337,0.00811997193084335,15.991508714373966
lasso,918.3672248776942,-0.004994108699437838,0.0006931483919068171,15.625140267864962
mlp,1059.305228889096,-0.1592263808084302,-0.1396882775142625,16.937631729370267
decisionTree,1036.186188729942,-0.1339265894729651,-0.12665034773926553,15.869258192787605
ExtraTreeRegressor,6376.82571181467,-5.978332957636129,-5.923376454386216,22.608984220184865
RandomForestRegressor,1060.4377972441011,-0.16046578101092646,-0.14514850927747336,16.525020382021292
